Title,RackName,DoorName,Position,Level,UketsukeNo,Hinban,Hinmei,KoushinNo,Customer,IsOccupied
"旧Dラック/⑤番扉/左/3段目","旧Dラック","⑤番扉","左","3段目","","","","","",No
"旧Dラック/⑤番扉/左/2段目","旧Dラック","⑤番扉","左","2段目","","","","","",No
"旧Dラック/⑤番扉/左/1段目奥","旧Dラック","⑤番扉","左","1段目奥","","","","","",No
"旧Dラック/⑤番扉/左/1段目手前","旧Dラック","⑤番扉","左","1段目手前","","","","","",No
"旧Dラック/⑤番扉/中央/3段目","旧Dラック","⑤番扉","中央","3段目","","","","","",No
"旧Dラック/⑤番扉/中央/2段目","旧Dラック","⑤番扉","中央","2段目","","","","","",No
"旧Dラック/⑤番扉/中央/1段目奥","旧Dラック","⑤番扉","中央","1段目奥","","","","","",No
"旧Dラック/⑤番扉/中央/1段目手前","旧Dラック","⑤番扉","中央","1段目手前","","","","","",No
"旧Dラック/⑤番扉/右/3段目","旧Dラック","⑤番扉","右","3段目","","","","","",No
"旧Dラック/⑤番扉/右/2段目","旧Dラック","⑤番扉","右","2段目","","","","","",No
"旧Dラック/⑤番扉/右/1段目奥","旧Dラック","⑤番扉","右","1段目奥","","","","","",No
"旧Dラック/⑤番扉/右/1段目手前","旧Dラック","⑤番扉","右","1段目手前","","","","","",No
"旧Dラック/④番扉/左/3段目","旧Dラック","④番扉","左","3段目","","","","","",No
"旧Dラック/④番扉/左/2段目","旧Dラック","④番扉","左","2段目","","","","","",No
"旧Dラック/④番扉/左/1段目奥","旧Dラック","④番扉","左","1段目奥","","","","","",No
"旧Dラック/④番扉/左/1段目手前","旧Dラック","④番扉","左","1段目手前","","","","","",No
"旧Dラック/④番扉/中央/3段目","旧Dラック","④番扉","中央","3段目","","","","","",No
"旧Dラック/④番扉/中央/2段目","旧Dラック","④番扉","中央","2段目","","","","","",No
"旧Dラック/④番扉/中央/1段目奥","旧Dラック","④番扉","中央","1段目奥","","","","","",No
"旧Dラック/④番扉/中央/1段目手前","旧Dラック","④番扉","中央","1段目手前","","","","","",No
"旧Dラック/④番扉/右/3段目","旧Dラック","④番扉","右","3段目","","","","","",No
"旧Dラック/④番扉/右/2段目","旧Dラック","④番扉","右","2段目","","","","","",No
"旧Dラック/④番扉/右/1段目奥","旧Dラック","④番扉","右","1段目奥","","","","","",No
"旧Dラック/④番扉/右/1段目手前","旧Dラック","④番扉","右","1段目手前","","","","","",No
"旧Dラック/③番扉/左/3段目","旧Dラック","③番扉","左","3段目","","","","","",No
"旧Dラック/③番扉/左/2段目","旧Dラック","③番扉","左","2段目","","","","","",No
"旧Dラック/③番扉/左/1段目奥","旧Dラック","③番扉","左","1段目奥","","","","","",No
"旧Dラック/③番扉/左/1段目手前","旧Dラック","③番扉","左","1段目手前","","","","","",No
"旧Dラック/③番扉/中央/3段目","旧Dラック","③番扉","中央","3段目","","","","","",No
"旧Dラック/③番扉/中央/2段目","旧Dラック","③番扉","中央","2段目","","","","","",No
"旧Dラック/③番扉/中央/1段目奥","旧Dラック","③番扉","中央","1段目奥","","","","","",No
"旧Dラック/③番扉/中央/1段目手前","旧Dラック","③番扉","中央","1段目手前","","","","","",No
"旧Dラック/③番扉/右/3段目","旧Dラック","③番扉","右","3段目","","","","","",No
"旧Dラック/③番扉/右/2段目","旧Dラック","③番扉","右","2段目","","","","","",No
"旧Dラック/③番扉/右/1段目奥","旧Dラック","③番扉","右","1段目奥","","","","","",No
"旧Dラック/③番扉/右/1段目手前","旧Dラック","③番扉","右","1段目手前","","","","","",No
"旧Dラック/②番扉/左/3段目","旧Dラック","②番扉","左","3段目","","","","","",No
"旧Dラック/②番扉/左/2段目","旧Dラック","②番扉","左","2段目","","","","","",No
"旧Dラック/②番扉/左/1段目奥","旧Dラック","②番扉","左","1段目奥","","","","","",No
"旧Dラック/②番扉/左/1段目手前","旧Dラック","②番扉","左","1段目手前","","","","","",No
"旧Dラック/②番扉/中央/3段目","旧Dラック","②番扉","中央","3段目","","","","","",No
"旧Dラック/②番扉/中央/2段目","旧Dラック","②番扉","中央","2段目","","","","","",No
"旧Dラック/②番扉/中央/1段目奥","旧Dラック","②番扉","中央","1段目奥","","","","","",No
"旧Dラック/②番扉/中央/1段目手前","旧Dラック","②番扉","中央","1段目手前","","","","","",No
"旧Dラック/②番扉/右/3段目","旧Dラック","②番扉","右","3段目","","","","","",No
"旧Dラック/②番扉/右/2段目","旧Dラック","②番扉","右","2段目","","","","","",No
"旧Dラック/②番扉/右/1段目奥","旧Dラック","②番扉","右","1段目奥","","","","","",No
"旧Dラック/②番扉/右/1段目手前","旧Dラック","②番扉","右","1段目手前","","","","","",No
"旧Dラック/①番扉/左/3段目","旧Dラック","①番扉","左","3段目","","","","","",No
"旧Dラック/①番扉/左/2段目","旧Dラック","①番扉","左","2段目","","","","","",No
"旧Dラック/①番扉/左/1段目奥","旧Dラック","①番扉","左","1段目奥","","","","","",No
"旧Dラック/①番扉/左/1段目手前","旧Dラック","①番扉","左","1段目手前","","","","","",No
"旧Dラック/①番扉/中央/3段目","旧Dラック","①番扉","中央","3段目","","","","","",No
"旧Dラック/①番扉/中央/2段目","旧Dラック","①番扉","中央","2段目","","","","","",No
"旧Dラック/①番扉/中央/1段目奥","旧Dラック","①番扉","中央","1段目奥","","","","","",No
"旧Dラック/①番扉/中央/1段目手前","旧Dラック","①番扉","中央","1段目手前","","","","","",No
"旧Dラック/①番扉/右/3段目","旧Dラック","①番扉","右","3段目","","","","","",No
"旧Dラック/①番扉/右/2段目","旧Dラック","①番扉","右","2段目","","","","","",No
"旧Dラック/①番扉/右/1段目奥","旧Dラック","①番扉","右","1段目奥","","","","","",No
"旧Dラック/①番扉/右/1段目手前","旧Dラック","①番扉","右","1段目手前","","","","","",No
"新Dラック/③番扉/左/3段目","新Dラック","③番扉","左","3段目","","","","","",No
"新Dラック/③番扉/左/2段目","新Dラック","③番扉","左","2段目","","","","","",No
"新Dラック/③番扉/左/1段目奥","新Dラック","③番扉","左","1段目奥","","","","","",No
"新Dラック/③番扉/左/1段目手前","新Dラック","③番扉","左","1段目手前","","","","","",No
"新Dラック/③番扉/中央/3段目","新Dラック","③番扉","中央","3段目","","","","","",No
"新Dラック/③番扉/中央/2段目","新Dラック","③番扉","中央","2段目","","","","","",No
"新Dラック/③番扉/中央/1段目奥","新Dラック","③番扉","中央","1段目奥","","","","","",No
"新Dラック/③番扉/中央/1段目手前","新Dラック","③番扉","中央","1段目手前","","","","","",No
"新Dラック/③番扉/右/3段目","新Dラック","③番扉","右","3段目","","","","","",No
"新Dラック/③番扉/右/2段目","新Dラック","③番扉","右","2段目","","","","","",No
"新Dラック/③番扉/右/1段目奥","新Dラック","③番扉","右","1段目奥","","","","","",No
"新Dラック/③番扉/右/1段目手前","新Dラック","③番扉","右","1段目手前","","","","","",No
"新Dラック/②番扉/左/3段目","新Dラック","②番扉","左","3段目","","","","","",No
"新Dラック/②番扉/左/2段目","新Dラック","②番扉","左","2段目","","","","","",No
"新Dラック/②番扉/左/1段目奥","新Dラック","②番扉","左","1段目奥","","","","","",No
"新Dラック/②番扉/左/1段目手前","新Dラック","②番扉","左","1段目手前","","","","","",No
"新Dラック/②番扉/中央/3段目","新Dラック","②番扉","中央","3段目","","","","","",No
"新Dラック/②番扉/中央/2段目","新Dラック","②番扉","中央","2段目","","","","","",No
"新Dラック/②番扉/中央/1段目奥","新Dラック","②番扉","中央","1段目奥","","","","","",No
"新Dラック/②番扉/中央/1段目手前","新Dラック","②番扉","中央","1段目手前","","","","","",No
"新Dラック/②番扉/右/3段目","新Dラック","②番扉","右","3段目","","","","","",No
"新Dラック/②番扉/右/2段目","新Dラック","②番扉","右","2段目","","","","","",No
"新Dラック/②番扉/右/1段目奥","新Dラック","②番扉","右","1段目奥","","","","","",No
"新Dラック/②番扉/右/1段目手前","新Dラック","②番扉","右","1段目手前","","","","","",No
"新Dラック/①番扉/左/3段目","新Dラック","①番扉","左","3段目","","","","","",No
"新Dラック/①番扉/左/2段目","新Dラック","①番扉","左","2段目","","","","","",No
"新Dラック/①番扉/左/1段目奥","新Dラック","①番扉","左","1段目奥","","","","","",No
"新Dラック/①番扉/左/1段目手前","新Dラック","①番扉","左","1段目手前","","","","","",No
"新Dラック/①番扉/中央/3段目","新Dラック","①番扉","中央","3段目","","","","","",No
"新Dラック/①番扉/中央/2段目","新Dラック","①番扉","中央","2段目","","","","","",No
"新Dラック/①番扉/中央/1段目奥","新Dラック","①番扉","中央","1段目奥","","","","","",No
"新Dラック/①番扉/中央/1段目手前","新Dラック","①番扉","中央","1段目手前","","","","","",No
"新Dラック/①番扉/右/3段目","新Dラック","①番扉","右","3段目","","","","","",No
"新Dラック/①番扉/右/2段目","新Dラック","①番扉","右","2段目","","","","","",No
"新Dラック/①番扉/右/1段目奥","新Dラック","①番扉","右","1段目奥","","","","","",No
"新Dラック/①番扉/右/1段目手前","新Dラック","①番扉","右","1段目手前","","","","","",No
"F北側ラック/⑦番扉/左/3段目","F北側ラック","⑦番扉","左","3段目","","","","","",No
"F北側ラック/⑦番扉/左/2段目","F北側ラック","⑦番扉","左","2段目","","","","","",No
"F北側ラック/⑦番扉/左/1段目奥","F北側ラック","⑦番扉","左","1段目奥","","","","","",No
"F北側ラック/⑦番扉/左/1段目手前","F北側ラック","⑦番扉","左","1段目手前","","","","","",No
"F北側ラック/⑦番扉/中央/3段目","F北側ラック","⑦番扉","中央","3段目","","","","","",No
"F北側ラック/⑦番扉/中央/2段目","F北側ラック","⑦番扉","中央","2段目","","","","","",No
"F北側ラック/⑦番扉/中央/1段目奥","F北側ラック","⑦番扉","中央","1段目奥","","","","","",No
"F北側ラック/⑦番扉/中央/1段目手前","F北側ラック","⑦番扉","中央","1段目手前","","","","","",No
"F北側ラック/⑦番扉/右/3段目","F北側ラック","⑦番扉","右","3段目","","","","","",No
"F北側ラック/⑦番扉/右/2段目","F北側ラック","⑦番扉","右","2段目","","","","","",No
"F北側ラック/⑦番扉/右/1段目奥","F北側ラック","⑦番扉","右","1段目奥","","","","","",No
"F北側ラック/⑦番扉/右/1段目手前","F北側ラック","⑦番扉","右","1段目手前","","","","","",No
"F北側ラック/⑥番扉/左/3段目","F北側ラック","⑥番扉","左","3段目","","","","","",No
"F北側ラック/⑥番扉/左/2段目","F北側ラック","⑥番扉","左","2段目","","","","","",No
"F北側ラック/⑥番扉/左/1段目奥","F北側ラック","⑥番扉","左","1段目奥","","","","","",No
"F北側ラック/⑥番扉/左/1段目手前","F北側ラック","⑥番扉","左","1段目手前","","","","","",No
"F北側ラック/⑥番扉/中央/3段目","F北側ラック","⑥番扉","中央","3段目","","","","","",No
"F北側ラック/⑥番扉/中央/2段目","F北側ラック","⑥番扉","中央","2段目","","","","","",No
"F北側ラック/⑥番扉/中央/1段目奥","F北側ラック","⑥番扉","中央","1段目奥","","","","","",No
"F北側ラック/⑥番扉/中央/1段目手前","F北側ラック","⑥番扉","中央","1段目手前","","","","","",No
"F北側ラック/⑥番扉/右/3段目","F北側ラック","⑥番扉","右","3段目","","","","","",No
"F北側ラック/⑥番扉/右/2段目","F北側ラック","⑥番扉","右","2段目","","","","","",No
"F北側ラック/⑥番扉/右/1段目奥","F北側ラック","⑥番扉","右","1段目奥","","","","","",No
"F北側ラック/⑥番扉/右/1段目手前","F北側ラック","⑥番扉","右","1段目手前","","","","","",No
"F北側ラック/⑤番扉/左/3段目","F北側ラック","⑤番扉","左","3段目","","","","","",No
"F北側ラック/⑤番扉/左/2段目","F北側ラック","⑤番扉","左","2段目","","","","","",No
"F北側ラック/⑤番扉/左/1段目奥","F北側ラック","⑤番扉","左","1段目奥","","","","","",No
"F北側ラック/⑤番扉/左/1段目手前","F北側ラック","⑤番扉","左","1段目手前","","","","","",No
"F北側ラック/⑤番扉/中央/3段目","F北側ラック","⑤番扉","中央","3段目","","","","","",No
"F北側ラック/⑤番扉/中央/2段目","F北側ラック","⑤番扉","中央","2段目","","","","","",No
"F北側ラック/⑤番扉/中央/1段目奥","F北側ラック","⑤番扉","中央","1段目奥","","","","","",No
"F北側ラック/⑤番扉/中央/1段目手前","F北側ラック","⑤番扉","中央","1段目手前","","","","","",No
"F北側ラック/⑤番扉/右/3段目","F北側ラック","⑤番扉","右","3段目","","","","","",No
"F北側ラック/⑤番扉/右/2段目","F北側ラック","⑤番扉","右","2段目","","","","","",No
"F北側ラック/⑤番扉/右/1段目奥","F北側ラック","⑤番扉","右","1段目奥","","","","","",No
"F北側ラック/⑤番扉/右/1段目手前","F北側ラック","⑤番扉","右","1段目手前","","","","","",No
"F南側ラック/③番扉/左/3段目","F南側ラック","③番扉","左","3段目","","","","","",No
"F南側ラック/③番扉/左/2段目","F南側ラック","③番扉","左","2段目","","","","","",No
"F南側ラック/③番扉/左/1段目奥","F南側ラック","③番扉","左","1段目奥","","","","","",No
"F南側ラック/③番扉/左/1段目手前","F南側ラック","③番扉","左","1段目手前","","","","","",No
"F南側ラック/③番扉/中央/3段目","F南側ラック","③番扉","中央","3段目","","","","","",No
"F南側ラック/③番扉/中央/2段目","F南側ラック","③番扉","中央","2段目","","","","","",No
"F南側ラック/③番扉/中央/1段目奥","F南側ラック","③番扉","中央","1段目奥","","","","","",No
"F南側ラック/③番扉/中央/1段目手前","F南側ラック","③番扉","中央","1段目手前","","","","","",No
"F南側ラック/③番扉/右/3段目","F南側ラック","③番扉","右","3段目","","","","","",No
"F南側ラック/③番扉/右/2段目","F南側ラック","③番扉","右","2段目","","","","","",No
"F南側ラック/③番扉/右/1段目奥","F南側ラック","③番扉","右","1段目奥","","","","","",No
"F南側ラック/③番扉/右/1段目手前","F南側ラック","③番扉","右","1段目手前","","","","","",No
"F南側ラック/②番扉/左/3段目","F南側ラック","②番扉","左","3段目","","","","","",No
"F南側ラック/②番扉/左/2段目","F南側ラック","②番扉","左","2段目","","","","","",No
"F南側ラック/②番扉/左/1段目奥","F南側ラック","②番扉","左","1段目奥","","","","","",No
"F南側ラック/②番扉/左/1段目手前","F南側ラック","②番扉","左","1段目手前","","","","","",No
"F南側ラック/②番扉/中央/3段目","F南側ラック","②番扉","中央","3段目","","","","","",No
"F南側ラック/②番扉/中央/2段目","F南側ラック","②番扉","中央","2段目","","","","","",No
"F南側ラック/②番扉/中央/1段目奥","F南側ラック","②番扉","中央","1段目奥","","","","","",No
"F南側ラック/②番扉/中央/1段目手前","F南側ラック","②番扉","中央","1段目手前","","","","","",No
"F南側ラック/②番扉/右/3段目","F南側ラック","②番扉","右","3段目","","","","","",No
"F南側ラック/②番扉/右/2段目","F南側ラック","②番扉","右","2段目","","","","","",No
"F南側ラック/②番扉/右/1段目奥","F南側ラック","②番扉","右","1段目奥","","","","","",No
"F南側ラック/②番扉/右/1段目手前","F南側ラック","②番扉","右","1段目手前","","","","","",No
"F南側ラック/①番扉/左/3段目","F南側ラック","①番扉","左","3段目","","","","","",No
"F南側ラック/①番扉/左/2段目","F南側ラック","①番扉","左","2段目","","","","","",No
"F南側ラック/①番扉/左/1段目奥","F南側ラック","①番扉","左","1段目奥","","","","","",No
"F南側ラック/①番扉/左/1段目手前","F南側ラック","①番扉","左","1段目手前","","","","","",No
"F南側ラック/①番扉/中央/3段目","F南側ラック","①番扉","中央","3段目","","","","","",No
"F南側ラック/①番扉/中央/2段目","F南側ラック","①番扉","中央","2段目","","","","","",No
"F南側ラック/①番扉/中央/1段目奥","F南側ラック","①番扉","中央","1段目奥","","","","","",No
"F南側ラック/①番扉/中央/1段目手前","F南側ラック","①番扉","中央","1段目手前","","","","","",No
"F南側ラック/①番扉/右/3段目","F南側ラック","①番扉","右","3段目","","","","","",No
"F南側ラック/①番扉/右/2段目","F南側ラック","①番扉","右","2段目","","","","","",No
"F南側ラック/①番扉/右/1段目奥","F南側ラック","①番扉","右","1段目奥","","","","","",No
"F南側ラック/①番扉/右/1段目手前","F南側ラック","①番扉","右","1段目手前","","","","","",No
"G北側ラック/④番扉/左/2段目","G北側ラック","④番扉","左","2段目","","","","","",No
"G北側ラック/④番扉/左/1段目奥","G北側ラック","④番扉","左","1段目奥","","","","","",No
"G北側ラック/④番扉/左/1段目手前","G北側ラック","④番扉","左","1段目手前","","","","","",No
"G北側ラック/④番扉/中央/2段目","G北側ラック","④番扉","中央","2段目","","","","","",No
"G北側ラック/④番扉/中央/1段目奥","G北側ラック","④番扉","中央","1段目奥","","","","","",No
"G北側ラック/④番扉/中央/1段目手前","G北側ラック","④番扉","中央","1段目手前","","","","","",No
"G北側ラック/④番扉/右/2段目","G北側ラック","④番扉","右","2段目","","","","","",No
"G北側ラック/④番扉/右/1段目奥","G北側ラック","④番扉","右","1段目奥","","","","","",No
"G北側ラック/④番扉/右/1段目手前","G北側ラック","④番扉","右","1段目手前","","","","","",No
"G北側ラック/③番扉/左/2段目","G北側ラック","③番扉","左","2段目","","","","","",No
"G北側ラック/③番扉/左/1段目奥","G北側ラック","③番扉","左","1段目奥","","","","","",No
"G北側ラック/③番扉/左/1段目手前","G北側ラック","③番扉","左","1段目手前","","","","","",No
"G北側ラック/③番扉/中央/2段目","G北側ラック","③番扉","中央","2段目","","","","","",No
"G北側ラック/③番扉/中央/1段目奥","G北側ラック","③番扉","中央","1段目奥","","","","","",No
"G北側ラック/③番扉/中央/1段目手前","G北側ラック","③番扉","中央","1段目手前","","","","","",No
"G北側ラック/③番扉/右/2段目","G北側ラック","③番扉","右","2段目","","","","","",No
"G北側ラック/③番扉/右/1段目奥","G北側ラック","③番扉","右","1段目奥","","","","","",No
"G北側ラック/③番扉/右/1段目手前","G北側ラック","③番扉","右","1段目手前","","","","","",No
"G北側ラック/②番扉/左/2段目","G北側ラック","②番扉","左","2段目","","","","","",No
"G北側ラック/②番扉/左/1段目奥","G北側ラック","②番扉","左","1段目奥","","","","","",No
"G北側ラック/②番扉/左/1段目手前","G北側ラック","②番扉","左","1段目手前","","","","","",No
"G北側ラック/②番扉/中央/2段目","G北側ラック","②番扉","中央","2段目","","","","","",No
"G北側ラック/②番扉/中央/1段目奥","G北側ラック","②番扉","中央","1段目奥","","","","","",No
"G北側ラック/②番扉/中央/1段目手前","G北側ラック","②番扉","中央","1段目手前","","","","","",No
"G北側ラック/②番扉/右/2段目","G北側ラック","②番扉","右","2段目","","","","","",No
"G北側ラック/②番扉/右/1段目奥","G北側ラック","②番扉","右","1段目奥","","","","","",No
"G北側ラック/②番扉/右/1段目手前","G北側ラック","②番扉","右","1段目手前","","","","","",No